I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.020604452,0.09236314,0.06604175,-0.031478975,-0.084554665,0.051259972,0.10222664,0.06865501,-0.06547272,-0.08418763,0.030875593,0.00906857
0.008590937,0.06708011,0.047474626,-0.027447972,-0.04726736,0.036740478,0.07882143,0.036781803,-0.0399347,-0.10995021,0.052442998,-0.013106636
0.022732474,0.08872912,0.024118407,-0.0350904,-0.033421252,0.034317203,0.04491955,0.012908062,-0.054961246,-0.13382164,0.042520743,-0.025121111
0.015501671,0.11169814,0.044206,-0.025682073,-0.021223066,0.015410506,0.050571006,0.030809585,-0.042363103,-0.11915139,0.041938182,-0.026449006
0.007176935,0.096575245,0.030968059,-0.03317431,-0.051049475,0.03716184,0.058184344,0.035779707,-0.051753856,-0.1259217,0.03750903,-0.017465105
0.019529847,0.088307135,0.030174306,-0.040545996,-0.037259646,0.01773832,0.05570012,0.01183057,-0.043373223,-0.12279601,0.04272846,-0.032515362
0.0067119966,0.1019526,0.031530205,-0.01857529,-0.04243091,0.028928388,0.065332875,0.02515712,-0.04709056,-0.114762925,0.043010585,-0.031618953
0.015162326,0.092614405,0.03510039,-0.028091189,-0.04208313,0.045608878,0.06364423,0.024982587,-0.046827186,-0.120408505,0.042287525,-0.027776953
0.031755693,0.098877564,0.03149381,-0.039093915,-0.044180464,0.024598205,0.058026038,0.0152029,-0.05690812,-0.12939264,0.036357306,-0.03483003
0.0116019035,0.10715306,0.045122735,-0.028919514,-0.043703094,0.038890637,0.06255336,0.044395696,-0.05157906,-0.12152001,0.04341301,-0.022062616
0.02030027,0.09895726,0.037617855,-0.04089793,-0.05029886,0.03152819,0.050419524,0.039412033,-0.050792288,-0.13543272,0.036077898,-0.00977912
0.021914318,0.090494074,0.038586184,-0.042749137,-0.038351893,0.007735513,0.052732978,0.022346817,-0.04373163,-0.11911298,0.05071895,-0.02051871
0.003380077,0.07999075,0.036190305,-0.04407655,-0.039048277,0.03960296,0.05043816,0.014836363,-0.044155587,-0.12962717,0.05709219,-0.020238554
0.026619384,0.10192916,0.032746326,-0.040463258,-0.036626548,0.022826413,0.053915236,0.014323375,-0.044267327,-0.122869365,0.03785511,-0.034076553
0.003413952,0.105125405,0.041921347,-0.006765513,-0.053389322,0.021595856,0.07898872,0.03796427,-0.05083721,-0.11979269,0.0352825,-0.028675562
0.031962894,0.087382264,0.03473758,-0.025558425,-0.039890602,0.045943968,0.064049296,0.01748791,-0.04155429,-0.12397127,0.053887617,-0.023637805
0.035766385,0.095079556,0.034054205,-0.055907708,-0.049025375,0.024971588,0.048188057,0.016805561,-0.061448593,-0.1328512,0.03380777,-0.02555089
0.008191917,0.091779456,0.053924307,-0.022289677,-0.033888567,0.05165108,0.06732998,0.046123803,-0.046240486,-0.11306344,0.0435058,-0.019792292
0.01375975,0.099911936,0.021316912,-0.030929761,-0.049952347,0.029990116,0.056800283,0.04060748,-0.064447984,-0.12756717,0.02571337,-0.025719702
0.018119318,0.10636919,0.03415963,-0.035762068,-0.032982226,0.007729075,0.05181468,0.019205295,-0.035757143,-0.13015467,0.042807613,-0.029080227
0.014359913,0.101057336,0.046057615,-0.027721424,-0.0508208,0.027348934,0.06282971,0.030127382,-0.038516622,-0.11927405,0.04823275,-0.016932769
0.0028080884,0.08113736,0.043036345,-0.027875634,-0.032911327,0.026272494,0.066740505,0.034309387,-0.037766587,-0.12046246,0.04731417,-0.018506644
0.016445618,0.093347885,0.016990608,-0.02928972,-0.027818259,0.018233215,0.039262973,0.009577224,-0.04770839,-0.13719676,0.036253124,-0.027924113
0.017000688,0.103162274,0.02359579,-0.04019287,-0.011798207,0.0025011613,0.0369752,0.004222334,-0.038698178,-0.13301095,0.044168416,-0.04244096
